Field=#~Integer~#~50|Field=Designator~String~Designator~63|Field=Comment~String~Comment~83|Field=Description~String~Description~63|Field=Value~String~Value~46|Field=Quantity~Integer~Quantity~44|Field=ComponentLink1Description~String~ComponentLink1Description~67|Field=ComponentLink1URL~String~ComponentLink1URL~138|Field=Digi-Key Part Number~String~Digi-Key Part Number~100|Field=Mouser Part Number~String~Mouser Part Number~100|Field=Manufacturer~String~Manufacturer~87|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BT Mesh.PrjPcb|ReportField=ProjectFullPath~C:\Users\Preshit\Documents\GitHub\Low-Power-Embedded-Design\BT Mesh\BT Mesh.PrjPcb|ReportField=Title~Bill of Materials For Project [BT Mesh.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~103|ReportField=ReportTime~6:46:58 PM|ReportField=ReportDate~10/20/2018|ReportField=ReportDateTime~10/20/2018 6:46:58 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~University of Colorado|ReportField=Address2~Boulder|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/20/2018|ReportField=CurrentTime~6:44:29 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Preshit\Documents\GitHub\Low-Power-Embedded-Design\BT Mesh\Gecko.SchDoc|ReportField=DocumentName~Gecko.SchDoc|ReportField=DocumentNumber~3|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2018|ReportField=Organization~|ReportField=ProjectName~BT Mesh.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~Blue Gecko|ReportField=DataSourceFileName~BT Mesh.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Preshit\Documents\GitHub\Low-Power-Embedded-Design\BT Mesh\BT Mesh.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|B1|SMTU2450N-LF_BULK|Coin Cell Battery Holders SFC MNT FOR CR2450N||1|Mouser Link|https://www.mouser.com/ProductDetail/Renata/SMTU2450N-LF-BULK?qs=%2fha2pyFadujPRC6SfxjNC1eKhjF19ladzRXvix6tp%252bjYkhocq%252bWWcw%3d%3d||614-SMTU2450N-LF|RENATA|SMTU2450N-LF BULK
2|C1, C6, C10, C16, C17|1uF|CAP CER 0.1UF 25V X7R 0603, CAP CER 1UF 16V X7R 0603, CAP CER 1UF 25V X5R 0603, CAP CER 1UF 25V X5R 0603, CAP CER 1UF 25V X5R 0603|1uF|5|Digi-Key Link|https://www.digikey.com/product-detail/en/murata-electronics-north-america/GCM188R71E104KA57D/490-6051-1-ND/3845251, https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B105MO8NNWC/1276-6524-1-ND/5961383, https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRT188R61E105ME13D/490-12322-1-ND/5417023, https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRT188R61E105ME13D/490-12322-1-ND/5417023, https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRT188R61E105ME13D/490-12322-1-ND/5417023|490-6051-1-ND, 1276-6524-1-ND, 490-12322-1-ND, 490-12322-1-ND, 490-12322-1-ND||Murata Electronics North America, Samsung Electro-Mechanics, Murata Electronics North America, Murata Electronics North America, Murata Electronics North America|GCM188R71E104KA57D, CL10B105MO8NNWC, GRT188R61E105ME13D, GRT188R61E105ME13D, GRT188R61E105ME13D
3|C2, C3, C5, C8, C15|10uF|CAP CER 10UF 25V X5R 1206, CAP CER 10UF 6.3V X5R 0603, CAP CER 10UF 6.3V X5R 0603, CAP CER 10UF 6.3V X5R 0603, CAP CER 10UF 6.3V X5R 0603|10uF|5|Digi-Key Link|https://www.digikey.com/product-detail/en/murata-electronics-north-america/GJ831CR61E106KE83L/490-14441-1-ND/6606902, https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A106KQ8NNNC/1276-1038-1-ND/3889124, https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A106KQ8NNNC/1276-1038-1-ND/3889124, https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME84D/490-7316-1-ND/4251709, https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME84D/490-7316-1-ND/4251709|490-14441-1-ND, 1276-1038-1-ND, 1276-1038-1-ND, 490-7316-1-ND, 490-7316-1-ND||Murata Electronics North America, Samsung Electro-Mechanics, Samsung Electro-Mechanics, Murata Electronics North America, Murata Electronics North America|GJ831CR61E106KE83L, CL10A106KQ8NNNC, CL10A106KQ8NNNC, GRM188R60J106ME84D, GRM188R60J106ME84D
4|C4|1.3nF|CAP CER 1300PF 25V C0G/NP0 0603|1.3nF|1|Digi-Key Link|https://www.digikey.com/product-detail/en/kemet/C0603C132J3GAC7867/399-14953-1-ND/7382502|399-14953-1-ND||KEMET|C0603C132J3GAC7867
5|C7|10nF|Capacitor|10nF|1||||||
6|C9|100nF|CAP CER 0.1UF 16V X7R 0603|100nF|1|Digi-Key Link|https://www.digikey.com/products/en/capacitors/ceramic-capacitors/60?k=capacitor&k=&pkeyword=capacitor&pv2049=u0.1%C2%B5F&sf=0&FV=c0005%2C1c0002%2C380009%2C400005%2C1f140000%2Cffe0003c&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25|478-7617-1-ND||AVX Corporation|0603YC104MAT4A
7|C11, C13|10pF|CAP CER 10PF 50V C0G/NP0 0603|10pF|2|Digi-Key Link|https://www.digikey.com/products/en/capacitors/ceramic-capacitors/60?k=capacitor&k=&pkeyword=capacitor&pv2049=u10pF&pv17=18&sf=0&FV=c0005%2C1c0002%2C400005%2C1f140000%2Cffe0003c&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25|709-1001-1-ND||Johanson Dielectrics Inc.|500X14N100MV4T
8|C12|220nF|CAP CER 0.22UF 16V X7R 0603|220nF|1|Digi-Key Link|https://www.digikey.com/product-detail/en/tdk-corporation/CGA3E2X7R1C224M080AD/445-9810-1-ND/3931737|445-9810-1-ND||TDK Corporation|CGA3E2X7R1C224M080AD
9|C14|100pF|CAP CER 0.1UF 16V X7R 0603|100pF|1|Digi-Key Link|https://www.digikey.com/products/en/capacitors/ceramic-capacitors/60?k=capacitor&k=&pkeyword=capacitor&pv2049=u0.1%C2%B5F&sf=0&FV=c0005%2C1c0002%2C380009%2C400005%2C440005%2C1f140000%2Cffe0003c&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25|478-7617-1-ND||AVX Corporation|0603YC104MAT4A
10|C18|4.7uF|CAP CER 4.7UF 16V X5R 0603|4.7uF|1|Digi-Key Link|https://www.digikey.com/product-detail/en/taiyo-yuden/EMK107ABJ475MA-T/587-6003-1-ND/8040666|587-6003-1-ND||Taiyo Yuden|EMK107ABJ475MA-T
